sourceDataSystem,code,sourceDataCode,sourceDataCodeDef,sourceDataField,notes
FMD,Klamath Lake sculpin,139,Klamath Lake sculpin,SpecieID,only found in FMD no other data system
FMD,Klamath largescale sucker,132,Klamath largescale sucker,SpecieID,only found in FMD no other data system
FMD,Klamath River lamprey,121,Klamath River lamprey,SpecieID,only found in FMD no other data system
FMD,Klamath smallscale sucker,110,Klamath smallscale sucker,SpecieID,only found in FMD no other data system
FMD,Klamath speckled dace,203,Klamath speckled dace,SpecieID,only found in FMD no other data system
FMD,Kokanee,66,Kokanee,SpecieID,only found in FMD no other data system
FMD,Lahontan cutthroat trout,20,Lahontan cutthroat trout,SpecieID,only found in FMD no other data system
FMD,Lahontan redside,208,Lahontan redside,SpecieID,only found in FMD no other data system
FMD,Lake chub,75,Lake chub,SpecieID,only found in FMD no other data system
FMD,Lake trout,56,Lake trout,SpecieID,only found in FMD no other data system
FMD,Lake whitefish,58,Lake whitefish,SpecieID,only found in FMD no other data system
FMD,Lampreys,113,Lampreys,SpecieID,only found in FMD no other data system
FMD,Largemouth bass,47,Largemouth bass,SpecieID,only found in FMD no other data system
FMD,Largescale sucker,60,Largescale sucker,SpecieID,only found in FMD no other data system
FMD,Least cisco,246,Least cisco,SpecieID,only found in FMD no other data system
FMD,Leopard dace,200,Leopard dace,SpecieID,only found in FMD no other data system
FMD,Longfin smelt,162,Longfin smelt,SpecieID,only found in FMD no other data system
FMD,Longnose dace,61,Longnose dace,SpecieID,only found in FMD no other data system
FMD,Longnose sucker,67,Longnose sucker,SpecieID,only found in FMD no other data system
FMD,Lost River sucker,141,Lost River sucker,SpecieID,only found in FMD no other data system
FMD,Macroinvertebrates,1000,Macroinvertebrates,SpecieID,only found in FMD no other data system
FMD,Malheur sculpin,136,Malheur sculpin,SpecieID,only found in FMD no other data system
FMD,Mammals,129,Mammals,SpecieID,only found in FMD no other data system
FMD,Marbled sculpin,272,Marbled sculpin,SpecieID,only found in FMD no other data system
FMD,Margined sculpin,137,Margined sculpin,SpecieID,only found in FMD no other data system
FMD,Mexican molly;  Black molly;  Liberty molly,238,Mexican molly;  Black molly;  Liberty molly,SpecieID,only found in FMD no other data system
FMD,Miller Lake lamprey,118,Miller Lake lamprey,SpecieID,only found in FMD no other data system
FMD,Millicoma dace,199,Millicoma dace,SpecieID,only found in FMD no other data system
FMD,Miscellaneous freshwater species,55,Miscellaneous freshwater species,SpecieID,only found in FMD no other data system
FMD,Miscellaneous marine species,54,Miscellaneous marine species,SpecieID,only found in FMD no other data system
FMD,Mixed anadromous salmonids,96,Mixed anadromous salmonids,SpecieID,only found in FMD no other data system
FMD,Mixed lamprey,94,Mixed lamprey,SpecieID,only found in FMD no other data system
FMD,Mixed resident salmonids,95,Mixed resident salmonids,SpecieID,only found in FMD no other data system
FMD,Mixed salmon,39,Mixed salmon,SpecieID,only found in FMD no other data system
FMD,Modoc sucker,130,Modoc sucker,SpecieID,only found in FMD no other data system
FMD,Molluscs,1007,Molluscs,SpecieID,only found in FMD no other data system
FMD,Mottled sculpin,154,Mottled sculpin,SpecieID,only found in FMD no other data system
FMD,Mountain sucker,38,Mountain sucker,SpecieID,only found in FMD no other data system
FMD,Mozambique tilapia,263,Mozambique tilapia,SpecieID,only found in FMD no other data system
FMD,Muskellunge,84,Muskellunge,SpecieID,only found in FMD no other data system
FMD,N/A,98,N/A,SpecieID,only found in FMD no other data system
FMD,N/A (not applicable),98,N/A (not applicable),SpecieID,only found in FMD no other data system
FMD,Nematodes,1008,Nematodes,SpecieID,only found in FMD no other data system
FMD,Ninespine stickleback,219,Ninespine stickleback,SpecieID,only found in FMD no other data system
FMD,Northern California brook lamprey,115,Northern California brook lamprey,SpecieID,only found in FMD no other data system
FMD,Northern leatherside chub,189,Northern leatherside chub,SpecieID,only found in FMD no other data system
FMD,Northern leopard frog,280,Northern leopard frog,SpecieID,only found in FMD no other data system
FMD,Northern pearl dace,31,Northern pearl dace,SpecieID,only found in FMD no other data system
FMD,Northern pike,26,Northern pike,SpecieID,only found in FMD no other data system
FMD,Northern redbelly dace,194,Northern redbelly dace,SpecieID,only found in FMD no other data system
FMD,Northern redbelly dace X Finescale dace hybrid,195,Northern redbelly dace X Finescale dace hybrid,SpecieID,only found in FMD no other data system
FMD,Not specified,93,Not specified,SpecieID,only found in FMD no other data system
FMD,Olympic mudminnow,212,Olympic mudminnow,SpecieID,only found in FMD no other data system
FMD,Oregon chub,151,Oregon chub,SpecieID,only found in FMD no other data system
FMD,Oregon closed basin redband trout,249,Oregon closed basin redband trout,SpecieID,only found in FMD no other data system
FMD,Oregon lakes tui chub,144,Oregon lakes tui chub,SpecieID,only found in FMD no other data system
FMD,Oriental weatherfish,183,Oriental weatherfish,SpecieID,only found in FMD no other data system
FMD,Pacific brook lamprey,119,Pacific brook lamprey,SpecieID,only found in FMD no other data system
FMD,Pacific chorus frog,278,Pacific chorus frog,SpecieID,only found in FMD no other data system
FMD,Pacific giant salamander,107,Pacific giant salamander,SpecieID,only found in FMD no other data system
FMD,Pacific herring,175,Pacific herring,SpecieID,only found in FMD no other data system
FMD,Pacific staghorn sculpin,273,Pacific staghorn sculpin,SpecieID,only found in FMD no other data system
FMD,Paddlefish,29,Paddlefish,SpecieID,only found in FMD no other data system
FMD,Paiute sculpin,267,Paiute sculpin,SpecieID,only found in FMD no other data system
FMD,Pallid sturgeon,30,Pallid sturgeon,SpecieID,only found in FMD no other data system
FMD,Peamouth,70,Peamouth,SpecieID,only found in FMD no other data system
FMD,Penpoint gunnel,231,Penpoint gunnel,SpecieID,only found in FMD no other data system
FMD,Pit roach,150,Pit roach,SpecieID,only found in FMD no other data system
FMD,Pit sculpin,138,Pit sculpin,SpecieID,only found in FMD no other data system
FMD,Pit-Klamath brook lamprey,116,Pit-Klamath brook lamprey,SpecieID,only found in FMD no other data system
FMD,Plains killifish,216,Plains killifish,SpecieID,only found in FMD no other data system
FMD,Plains minnow,188,Plains minnow,SpecieID,only found in FMD no other data system
FMD,Platy species,241,Platy species,SpecieID,only found in FMD no other data system
FMD,Prickly sculpin,103,Prickly sculpin,SpecieID,only found in FMD no other data system
FMD,Pumpkinseed,57,Pumpkinseed,SpecieID,only found in FMD no other data system
FMD,Pygmy whitefish,78,Pygmy whitefish,SpecieID,only found in FMD no other data system
